case_id,label time,label flo,label anomalo
declaration 10079,R,,
declaration 10295,R,,
declaration 10485,R,,
declaration 10929,R,,
declaration 11062,R,,
declaration 11778,R,,
declaration 11871,R,,
declaration 12038,R,,
declaration 12327,R,,
declaration 12407,R,,
declaration 1254,R,,
declaration 13705,R,,
declaration 13751,R,,
declaration 13798,R,,
declaration 13802,R,,
declaration 13804,R,,
declaration 13806,R,,
declaration 13884,R,,
declaration 13938,R,,
declaration 1404,R,,
declaration 1421,R,,
declaration 14292,R,,
declaration 14632,R,,
declaration 14674,R,,
declaration 14764,R,,
declaration 15095,R,,
declaration 15647,R,,
declaration 15699,R,,
declaration 15776,R,,
declaration 15820,R,,
declaration 16309,R,,
declaration 16332,R,,
declaration 16422,R,,
declaration 16650,R,,
declaration 16883,R,,
declaration 17010,R,,
declaration 17189,R,,
declaration 17424,R,,
declaration 17456,R,,
declaration 17480,R,,
declaration 17493,R,,
declaration 17912,R,,
declaration 17956,R,,
declaration 1796,R,,
declaration 18019,R,,
declaration 18677,R,,
declaration 19131,R,,
declaration 19360,R,,
declaration 19565,R,,
declaration 19690,R,,
declaration 19899,R,,
declaration 20371,R,,
declaration 20453,R,,
declaration 20727,R,,
declaration 20837,R,,
declaration 20936,R,,
declaration 21218,R,,
declaration 21228,R,,
declaration 21391,R,,
declaration 21592,R,,
declaration 21613,R,,
declaration 21689,R,,
declaration 21882,R,,
declaration 21959,R,,
declaration 22086,R,,
declaration 22118,R,,
declaration 22207,R,,
declaration 2223,R,,
declaration 22390,R,,
declaration 22485,R,,
declaration 22552,R,,
declaration 23106,R,,
declaration 23194,R,,
declaration 23209,R,,
declaration 23224,R,,
declaration 23668,R,,
declaration 23700,R,,
declaration 24037,R,,
declaration 24158,R,,
declaration 24637,R,,
declaration 24653,R,,
declaration 24958,R,,
declaration 25136,R,,
declaration 25265,R,,
declaration 26015,R,,
declaration 26052,R,,
declaration 26054,R,,
declaration 26347,R,,
declaration 26435,R,,
declaration 26546,R,,
declaration 27202,R,,
declaration 2721,R,,
declaration 2740,R,,
declaration 27717,R,,
declaration 2783,R,,
declaration 2808,R,,
declaration 28139,R,,
declaration 28149,R,,
declaration 28159,R,,
declaration 28200,R,,
declaration 28355,R,,
declaration 28855,R,,
declaration 2929,R,,
declaration 29810,R,,
declaration 30348,R,,
declaration 3073,R,,
declaration 30857,R,,
declaration 30859,R,,
declaration 30975,R,,
declaration 31012,R,,
declaration 31172,R,,
declaration 3184,R,,
declaration 3197,R,,
declaration 32029,R,,
declaration 32118,R,,
declaration 32132,R,,
declaration 32247,R,,
declaration 32273,R,,
declaration 32313,R,,
declaration 32472,R,,
declaration 32839,R,,
declaration 32902,R,,
declaration 33000,R,,
declaration 33024,R,,
declaration 3305,R,,
declaration 34740,R,,
declaration 34959,R,,
declaration 35915,R,,
declaration 36028,R,,
declaration 36370,R,,
declaration 36400,R,,
declaration 36662,R,,
declaration 36694,R,,
declaration 36830,R,,
declaration 36894,R,,
declaration 36941,R,,
declaration 3699,R,,
declaration 37061,R,,
declaration 37119,R,,
declaration 37151,R,,
declaration 37383,R,,
declaration 37617,R,,
declaration 37742,R,,
declaration 38038,R,,
declaration 38232,R,,
declaration 38366,R,,
declaration 38693,R,,
declaration 38703,R,,
declaration 38724,R,,
declaration 38840,R,,
declaration 38926,R,,
declaration 38944,R,,
declaration 38969,R,,
declaration 38998,R,,
declaration 39165,R,,
declaration 39502,R,,
declaration 39779,R,,
declaration 39804,R,,
declaration 39856,R,,
declaration 3986,R,,
declaration 40152,R,,
declaration 40178,R,,
declaration 40261,R,,
declaration 40412,R,,
declaration 40569,R,,
declaration 40606,R,,
declaration 40755,R,,
declaration 40818,R,,
declaration 4098,R,,
declaration 41098,R,,
declaration 41884,R,,
declaration 41919,R,,
declaration 41941,R,,
declaration 41957,R,,
declaration 41973,R,,
declaration 42024,R,,
declaration 42070,R,,
declaration 42149,R,,
declaration 42216,R,,
declaration 42227,R,,
declaration 42514,R,,
declaration 42854,R,,
declaration 43017,R,,
declaration 43051,R,,
declaration 43223,R,,
declaration 43248,R,,
declaration 43563,R,,
declaration 43713,R,,
declaration 43974,R,,
declaration 44216,R,,
declaration 44619,R,,
declaration 44719,R,,
declaration 44763,R,,
declaration 44822,R,,
declaration 44859,R,,
declaration 45081,R,,
declaration 45129,R,,
declaration 4529,R,,
declaration 45521,R,,
declaration 46351,R,,
declaration 46398,R,,
declaration 46678,R,,
declaration 46924,R,,
declaration 47120,R,,
declaration 47148,R,,
declaration 47815,R,,
declaration 47826,R,,
declaration 47892,R,,
declaration 48156,R,,
declaration 48436,R,,
declaration 48573,R,,
declaration 48954,R,,
declaration 48985,R,,
declaration 48998,R,,
declaration 49028,R,,
declaration 49660,R,,
declaration 50202,R,,
declaration 50341,R,,
declaration 50465,R,,
declaration 50517,R,,
declaration 50611,R,,
declaration 50627,R,,
declaration 50747,R,,
declaration 50931,R,,
declaration 51238,R,,
declaration 5127,R,,
declaration 51538,R,,
declaration 51878,R,,
