case_id,label time,label flo,label anomalo
C15051,R,,
C15054,R,,
C15270,R,,
C15520,R,,
C15547,R,,
C15548,R,,
C15562,R,,
C15595,R,,
C15683,R,,
C15726,R,,
C15744,R,,
C15754,R,,
C15757,R,,
C15768,R,,
C15829,R,,
C15843,R,,
C15846,R,,
C15847,R,,
C15853,R,,
C15854,R,,
C15855,R,,
C15878,R,,
C15879,R,,
C15903,R,,
C15904,R,,
C15908,R,,
C15909,R,,
C15914,R,,
C15925,R,,
C15927,R,,
C15930,R,,
C15939,R,,
C15950,R,,
C15957,R,,
C15971,R,,
C15972,R,,
C15974,R,,
C15978,R,,
C15994,R,,
C15995,R,,
C16000,R,,
C16090,R,,
C16123,R,,
C16126,R,,
C16143,R,,
C16160,R,,
C16163,R,,
C16167,R,,
C16169,R,,
C16202,R,,
C16215,R,,
C16245,R,,
C16652,R,,
C16804,R,,
C16812,R,,
C17075,R,,
C17269,R,,
C17349,R,,
C17380,R,,
C17392,R,,
C17396,R,,
C17448,R,,
C17454,R,,
C17455,R,,
C17475,R,,
C17482,R,,
C17576,R,,
C17582,R,,
C17583,R,,
C17584,R,,
C17602,R,,
C17605,R,,
C17606,R,,
C17608,R,,
C17616,R,,
C17619,R,,
C17624,R,,
C17630,R,,
C17654,R,,
C17655,R,,
N52758,R,,
N56204,R,,
N56779,R,,
N56944,R,,
N57504,R,,
N58315,R,,
N58637,R,,
N58638,R,,
N58640,R,,
N59326,R,,
N60126,R,,
N60127,R,,
N60129,R,,
N60131,R,,
N60133,R,,
N60139,R,,
N60140,R,,
N60141,R,,
N60142,R,,
N60150,R,,
N60249,R,,
N60660,R,,
N61180,R,,
N61409,R,,
N61414,R,,
N61527,R,,
N61953,R,,
N62842,R,,
N62874,R,,
N62876,R,,
N62879,R,,
N62882,R,,
N62886,R,,
N62887,R,,
N62889,R,,
N62891,R,,
N63035,R,,
N63111,R,,
N63310,R,,
N63412,R,,
N63416,R,,
N63417,R,,
N63418,R,,
N63813,R,,
N63815,R,,
N63817,R,,
N63818,R,,
N63822,R,,
N63823,R,,
N63825,R,,
N63841,R,,
N63842,R,,
N63845,R,,
N63860,R,,
N63861,R,,
N63862,R,,
N63866,R,,
N63868,R,,
N63870,R,,
N63875,R,,
N63876,R,,
